id,energiskalaid,buildingcategoryname,value,grade,arealkorrektsjon
159,0,Småhus,153,C,1600
160,0,Småhus,229,D,1600
161,0,Småhus,305,E,1600
162,0,Småhus,458,F,1600
163,0,Leiligheter,63,A,650
164,0,Leiligheter,94,B,650
165,0,Leiligheter,126,C,650
166,0,Leiligheter,180,D,650
167,0,Leiligheter,235,E,650
168,0,Leiligheter,353,F,650
169,0,Barnehage,90,A,
170,0,Barnehage,135,B,
171,0,Barnehage,180,C,
172,0,Barnehage,228,D,
173,0,Barnehage,276,E,
174,0,Barnehage,414,F,
175,0,Kontorbygning,84,A,
176,0,Kontorbygning,126,B,
177,0,Kontorbygning,168,C,
178,0,Kontorbygning,215,D,
179,0,Kontorbygning,263,E,
180,0,Kontorbygning,395,F,
181,0,Skolebygning,79,A,
182,0,Skolebygning,118,B,
183,0,Skolebygning,158,C,
184,0,Skolebygning,208,D,
185,0,Skolebygning,259,E,
186,0,Skolebygning,389,F,
187,0,Universitets- og høgskolebygning,95,A,
188,0,Universitets- og høgskolebygning,143,B,
189,0,Universitets- og høgskolebygning,191,C,
190,0,Universitets- og høgskolebygning,240,D,
191,0,Universitets- og høgskolebygning,289,E,
192,0,Universitets- og høgskolebygning,434,F,
193,0,Sykehus,179,A,
194,0,Sykehus,268,B,
195,0,Sykehus,358,C,
196,0,Sykehus,416,D,
197,0,Sykehus,475,E,
198,0,Sykehus,713,F,
199,0,Sykehjem,136,A,
200,0,Sykehjem,203,B,
201,0,Sykehjem,271,C,
202,0,Sykehjem,328,D,
203,0,Sykehjem,384,E,
204,0,Sykehjem,576,F,
205,0,Hotellbygning,135,A,
206,0,Hotellbygning,202,B,
207,0,Hotellbygning,269,C,
208,0,Hotellbygning,321,D,
209,0,Hotellbygning,373,E,
210,0,Hotellbygning,576,F,
211,0,Idrettsbygning,109,A,
212,0,Idrettsbygning,164,B,
213,0,Idrettsbygning,218,C,
214,0,Idrettsbygning,272,D,
215,0,Idrettsbygning,325,E,
216,0,Idrettsbygning,488,F,
217,0,Forretningsbygning,129,A,
218,0,Forretningsbygning,194,B,
219,0,Forretningsbygning,258,C,
220,0,Forretningsbygning,309,D,
221,0,Forretningsbygning,360,E,
222,0,Forretningsbygning,540,F,
223,0,Kulturbygning,105,A,
224,0,Kulturbygning,158,B,
225,0,Kulturbygning,210,C,
226,0,Kulturbygning,256,D,
227,0,Kulturbygning,302,E,
228,0,Kulturbygning,453,F,
229,0,"Lett industribygning, verksted",106,A,
230,0,"Lett industribygning, verksted",159,B,
231,0,"Lett industribygning, verksted",212,C,
232,0,"Lett industribygning, verksted",270,D,
233,0,"Lett industribygning, verksted",329,E,
234,0,"Lett industribygning, verksted",494,F,
